,product,variable,value,factor,product,variable,value,factor
144,Electrical equipment,"Use of imported products, cif",1.383,Ratio of direct to total,Electrical equipment,"Use of imported products, cif",0.292,total impact
145,Machinery and equipment n.e.c.,"Use of imported products, cif",1.395,Ratio of direct to total,Machinery and equipment n.e.c.,"Use of imported products, cif",0.273,total impact
146,"Motor vehicles, trailers and semi-trailers","Use of imported products, cif",1.225,Ratio of direct to total,"Motor vehicles, trailers and semi-trailers","Use of imported products, cif",0.389,total impact
147,Ships and boats,"Use of imported products, cif",2.468,Ratio of direct to total,Ships and boats,"Use of imported products, cif",0.113,total impact
148,Air and spacecraft and related machinery,"Use of imported products, cif",1.802,Ratio of direct to total,Air and spacecraft and related machinery,"Use of imported products, cif",0.267,total impact
149,Other transport equipment - 30.2/4/9,"Use of imported products, cif",1.684,Ratio of direct to total,Other transport equipment - 30.2/4/9,"Use of imported products, cif",0.228,total impact
150,Furniture,"Use of imported products, cif",1.588,Ratio of direct to total,Furniture,"Use of imported products, cif",0.232,total impact
151,Other manufactured goods,"Use of imported products, cif",1.255,Ratio of direct to total,Other manufactured goods,"Use of imported products, cif",0.26,total impact
152,Repair and maintenance of ships and boats,"Use of imported products, cif",3.212,Ratio of direct to total,Repair and maintenance of ships and boats,"Use of imported products, cif",0.08,total impact
153,Repair and maintenance of aircraft and spacecraft,"Use of imported products, cif",3.056,Ratio of direct to total,Repair and maintenance of aircraft and spacecraft,"Use of imported products, cif",0.205,total impact
154,Rest of repair; Installation - 33.11-14/17/19/20,"Use of imported products, cif",1.502,Ratio of direct to total,Rest of repair; Installation - 33.11-14/17/19/20,"Use of imported products, cif",0.234,total impact
155,"Electricity, transmission and distribution","Use of imported products, cif",3.167,Ratio of direct to total,"Electricity, transmission and distribution","Use of imported products, cif",0.216,total impact
156,Gas; distribution of gaseous fuels through mains; steam and air conditioning supply,"Use of imported products, cif",2.043,Ratio of direct to total,Gas; distribution of gaseous fuels through mains; steam and air conditioning supply,"Use of imported products, cif",0.302,total impact
157,Natural water; water treatment and supply services,"Use of imported products, cif",6.662,Ratio of direct to total,Natural water; water treatment and supply services,"Use of imported products, cif",0.049,total impact
158,Sewerage services; sewage sludge,"Use of imported products, cif",9.314,Ratio of direct to total,Sewerage services; sewage sludge,"Use of imported products, cif",0.021,total impact
159,"Waste collection, treatment and disposal services; materials recovery services","Use of imported products, cif",1.596,Ratio of direct to total,"Waste collection, treatment and disposal services; materials recovery services","Use of imported products, cif",0.194,total impact
160,Remediation services and other waste management services,"Use of imported products, cif",5.642,Ratio of direct to total,Remediation services and other waste management services,"Use of imported products, cif",0.057,total impact
161,Construction,"Use of imported products, cif",4.116,Ratio of direct to total,Construction,"Use of imported products, cif",0.125,total impact
162,Wholesale and retail trade and repair services of motor vehicles and motorcycles,"Use of imported products, cif",2.043,Ratio of direct to total,Wholesale and retail trade and repair services of motor vehicles and motorcycles,"Use of imported products, cif",0.126,total impact
163,"Wholesale trade services, except of motor vehicles and motorcycles","Use of imported products, cif",1.885,Ratio of direct to total,"Wholesale trade services, except of motor vehicles and motorcycles","Use of imported products, cif",0.147,total impact
164,"Retail trade services, except of motor vehicles and motorcycles","Use of imported products, cif",2.568,Ratio of direct to total,"Retail trade services, except of motor vehicles and motorcycles","Use of imported products, cif",0.075,total impact
165,Rail transport services,"Use of imported products, cif",4.157,Ratio of direct to total,Rail transport services,"Use of imported products, cif",0.123,total impact
166,"Land transport services and transport services via pipelines, excluding rail transport","Use of imported products, cif",1.866,Ratio of direct to total,"Land transport services and transport services via pipelines, excluding rail transport","Use of imported products, cif",0.144,total impact
167,Water transport services,"Use of imported products, cif",1.269,Ratio of direct to total,Water transport services,"Use of imported products, cif",0.316,total impact
168,Air transport services,"Use of imported products, cif",1.306,Ratio of direct to total,Air transport services,"Use of imported products, cif",0.393,total impact
169,Warehousing and support services for transportation,"Use of imported products, cif",4.407,Ratio of direct to total,Warehousing and support services for transportation,"Use of imported products, cif",0.115,total impact
170,Postal and courier services,"Use of imported products, cif",3.085,Ratio of direct to total,Postal and courier services,"Use of imported products, cif",0.088,total impact
171,Accommodation services,"Use of imported products, cif",4.153,Ratio of direct to total,Accommodation services,"Use of imported products, cif",0.072,total impact
172,Food and beverage serving services,"Use of imported products, cif",2.738,Ratio of direct to total,Food and beverage serving services,"Use of imported products, cif",0.094,total impact
